"5bb9","<X1e>船長<X04>
やあ お客さん。
もう 船が 故障する心配はないよ。
修理工が 手を抜いてただけなんだ。

ったく ボブの野郎 手ぇ抜きやがって。",""
"5c38","<X1e>船長<X04>
もう 故障は しないはずだ 安心して
のってくれ。

<Xf8287417><JUMP5cb4>船に のりますか？
<Xf69229><JUMP5ce6><Xf9000204><ASM6b26><Xf828af17><JUMP5cb4><SET0400><Xf028><X0e>を 渡しました。<X0c0301><END>
<LOC5cb4>切符が ないじゃないか。
向こうで 買ってきてくれ。<END>
<LOC5ce6>心配するなよ 大丈夫だって
言ってるだろ。",""
"5d0f","<X1e>修理工のボブ<X04>
この間 定期船を 修理したんだけど
おれの修理した所が 完全に直って
なかったみたいなんだ。

たまたま船長が 見つけたから
給料を へらされちゃったよ。",""
"5dae","<X1e>男<X04>
<IF0068><JUMP5dfc>近ごろ たちの悪い 赤スライムが
そこいらじゅうにいて 困ってるんだ。<END>
<LOC5dfc>赤スライムが いなくなったのは
いいんだけど もっと たちの悪い
モンスターが うろついてるとはなあ。",""
"5e5d","<X1e>老人<X04>
昔 この町の西に 流血の洞窟という
洞窟があったんじゃ。

そこに 恐ろしいモンスターどもが
すみついて 子供を いけにえに
出すようにと 言ってきたのじゃ。

<IF0068><JUMP607f>ところが ある日、４人の若者が来て
その恐ろしいモンスターどもを
退治してくれたのじゃよ。

その後 しばらくして ファーレーンのセリオスさまたちが 世界を
お救いくださったのじゃ。

そのときに やっと わかったのじゃ。その４人の若者たちというのは
セリオスさまを はじめとする
英雄たちじゃったとのう。

そして 町の者たちは 流血の洞窟が
ずっと残っているのは 不吉だといい
すぐに 埋めてしまったのじゃ。<END>
<LOC607f>また あのときのように ならねば
いいのじゃが ･ ･ ･",""
"60b1","<X1e>男<X04>
<IF0068><JUMP611d>この町の武器屋は ずーっと昔からの
古い武器しか 売ってないから 客が
来なくて 生活が大変らしいぜ。<END>
<LOC611d>この町の武器屋はしばらく休業すると言っているけど 何か新しい物でも
売り始める気なんだろうか？",""
"617a","<X1e>男<X04>
いらっしゃい。
もう 船の故障は 直ったよ。

ネリアまで行くには 切符１枚で
料金は 100 Gold だ。

<Xf65317><JUMP627e><Xf29862><JUMP6262>切符を 買いますか？<Xf69229><JUMP6239><Xf39862><Xf128><X08>はい どうぞ。船に のるまで なくさないでください。<END>
<LOC6239><X08>やっぱりね。
買わないと 思いましたよ。
<END>
<LOC6262>お金が 足りないじゃないか。<END>
<LOC627e>もう 持てないみたいだよ。",""
"629c","<X1e>バーテン<X04>
<IF0411><JUMP62ec><IF0412><JUMP62b9><IF0413><JUMP641c><LOC62b9>未成年に 酒は出せないな。
悪いけどあきらめてくれ。<END>
<LOC62ec><IF0029><JUMP641c>ああっ ランドーさんじゃないか。

あなたには 酒は 出せないな。
いつも いつも つけをためるだけで
払ったことなんか ないんだから。<IF_NOT044b><JUMP641b>

<SET0029><CH1>
そんなこと 言うなよ。
これからは つけになんかしないで
金 払って 飲むからよ。

<X1e>バーテン<X04>
うーん 本当でしょうね？
それじゃあ 今までのことは 忘れて
あげましょう。<LOC641b><END>
<LOC641c>１杯 10 Gold だけど <Xf27e64><JUMP646d>酒を飲むかい？<Xf69229><JUMP646c><Xf37e64><X08>はい どうぞ。<Xf6e0d6><JUMP646b>

<SET0418><ASMd6da><CLEAR0418><LOC646b><END>
<LOC646c><RET_IL><LOC646d>金が足りないよ。",""
"6482","<X1e>武器屋<X04>
いらっしゃい。
ちょっと 古い武器だけど<RETN>",""
"64b2","またどうぞ。",""
"64bf","<X1e>武器屋<X04>
いらっしゃい。
ここは武器屋だけど うちの商品
だれも 買ってくれないんだ。

それで しかたがないから しばらく
休業しようと思ってるんだ。",""
"654d","<X1e>道具屋<X04>
いらっしゃいませ。
どのような ご用でしょうか？<RETN>",""
"6585","また来てくださいね。",""
"65fd","どれを 売ってくれますか？
<RETN>",""
"6618"," Gold になるけど
それでも よろしいですか？
<RETN>",""
"6644","それは残念です。

<RETN>",""
"6656","どうも ありがとうございます。
<RETN>",""
"659a","おや？これ以上持てないようですね。

<RET_IL>",""
"65be","どれを買ってくれますか？
<RETN>",""
"65d8","<X0e>だね。
どうも ありがとう。

<RET_IL>",""
